시도명,방문자수,관광지출액,전년도 관광지출액,검색건수,1인당_평균지출액,검색건수당_평균지출액,1인당_검색건수,지출액_증가율
서울특별시,637284536.0,45763583249.0,45389241564.0,70904108,71.81028357637726,645.42922180193,0.11125973406641708,0.8247365941820566
부산광역시,163603650.0,9888391421.0,9234781800.0,26761595,60.44114187550217,369.4993299539882,0.1635757820806565,7.077694255862115
대구광역시,113514268.0,6049418398.0,5938052031.0,14814018,53.2921411958539,408.3577053841841,0.13050357687194,1.8754697065401986
인천광역시,187562862.0,8678860594.0,8448590815.0,36059962,46.27174325160383,240.67858402069308,0.19225534103867534,2.7255406734951455
광주광역시,72057548.0,3267881945.0,3074861370.0,7776765,45.351001188661044,420.2109675424164,0.10792436345460991,6.27737487235075
대전광역시,92127536.0,4905286846.0,4720997355.0,11686213,53.244524481800966,419.7499092306464,0.12684820963842994,3.9036135193937214
울산광역시,52264653.0,2450210635.0,2297343994.0,7262419,46.88083617430694,337.38216357387256,0.13895469659006443,6.65405970543565
세종특별자치시,30680258.0,491614640.0,467809756.0,3213513,16.023810490772274,152.98355413530302,0.10474204617184119,5.08858220562634
경기도,667366469.0,38835934496.0,37157569221.0,150494847,58.19281654080226,258.0549119798102,0.22550555652804308,4.516886626834173
충청북도,124347962.0,5720184584.0,5386902296.0,17066247,46.00143413689402,335.17530737718727,0.13724589229697226,6.186900554099079
충청남도,177123958.0,5729332980.0,5432963209.0,26034850,32.346459760118954,220.06399038212243,0.14698660923103354,5.455029964293653
전라남도,133047156.0,3740132795.0,3541372797.0,16512372,28.11133215805079,226.50487737315996,0.1241091692332003,5.612512700396168
경상북도,189668745.0,5743959662.0,5338493249.0,23603162,30.284165490734914,243.3555157567448,0.12444413021238686,7.595147059068615
경상남도,166985816.0,5888580166.0,5549142300.0,25231690,35.26395419117514,233.38033108364917,0.15110079768691254,6.116942901248
제주특별자치도,60843136.0,2733781019.0,2771985144.0,13447555,44.93162579588271,203.29204966999578,0.22102008351443292,-1.3782225739085707
강원특별자치도,152381383.0,5164134575.0,4921193864.0,36042127,33.88953737872296,143.2805165743964,0.23652579003040022,4.936621431989983
전북특별자치도,103052632.0,3560248685.0,3360503842.0,14451538,34.54786758867061,246.35777070924908,0.1402345356885208,5.943895689198858
